catalogNumber,scientificName,genus,specificEpithet,scientificNameAuthorship,collectedBy,collectorNumber,identifiedBy,identifiedDate,identifiedConfidence,identifiedRemarks,identificationHistory,verbatimCollectionDate,collectionDate,collectionDateEnd,habitat,chromosomeCount,guardCell,specimenDescription,cultivated,continent,country,stateProvince,county,locality,verbatimCoordinates,decimalLatitude,decimalLongitude,minimumElevationInMeters,maximumElevationInMeters,elevationUnits,additionalText
049157,Galax aphylla L.,Galax,aphylla,L.,Bryce D. Fields,370,Bryce D. Fields,,,,,05/29/1993,1993-05-29,,Dry oak-heath forest.,,,,,North america,U.S.a.,Kentucky,Harlan County,"Blanton Forest, ridge slope ca. 0.4 mi north of knobby rock.",,,,,,,"Eastern kentucky university herbarium
Flora of blanton forest"
049156,Galax aphylla L.,Galax,aphylla,L.,Bryce D. Fields,300,Bryce D. Fields,1993-05-22,,,,05/22/1993,1993-05-22,,"Blanton Forest, along Boy Scout trail on ridge just below Sand Cave.",,,,,North America,Usa,Kentucky,Harlan County,"Blanton Forest, along Boy Scout trail on ridge just below Sand Cave.",,,,,,,"Eastern Kentucky University
Herbarium
Flora Of Blanton Forest
Eastern Kentucky University Herbarium
3 1234 10039608 2"
KHD00041591,Galax urceolata (Poir.) Brummitt,Galax,urceolata,(Poir.) Brummitt,J.k.u.,1206,,,,,,"July 20, 1934",1934-07-20,,"Hemlock woods, Mt. Le conte",,,,,North america,United states,Tennessee,Sevier co.,"Mt. Le conte, Sevier Co.",,,,1768,,ft,"Kathryn kalmbach herbarium
denver botanic gardens
1725
Flora of tennessee
polemoniaceae
diapensiaceae j. k. underwood herbarium
Galax aphylla l.
denver botanic gardens"
073436,Galax urceolata (Poir.) Brummitt,Galax,urceolata,(Poir.) Brummitt,"Amy V. McIntosh, Ron Jones, Jacob Stewart",742,,,,,,1 May 2005,2005-05-01,,North-facing slope of Pine Mountain. Steep sub-xeric deciduous forest below ridge,,,,,North america,Usa,Kentucky,Bell County,Kentucky Ridge State Forest Golden site,,,,,,,"Eastern kentucky university herbarium
Ik
Flora of pine mountain
Thesis voucher
Eky
Galax urceolata"
045368,Galax aphylla L.,Galax,aphylla,L.,"Elizabeth M. Browne, Edward T. Browne, Jr.",10019,,,,,,16 May 1965,1965-05-16,,Unpaved road up side of pine mountain at ash camp. Lower third of thr slope. Mixed woods. Nw exposure.,,,,,North america,U.s.a.,Kentucky,Pike co.,"Unpaved road up side of pine mountain at ash camp, lower third of the slope. Mixed woods. Nw exposure. Cumberland plateau province.",,,,,,,"Eastern kentucky university
herbarium
inch
optirectilinear®
3 1234 10039614 0
herbarium of memphis state university
galax aphylla
diapensiaceae
k"
3 1234 10039604 1,Galax aphylla auct. non L.,Diapensiaceae,aphylla,auct. non L.,"R. Hannan, L.R. Phillippe",2305,,,,,,"Jun. 14, 1979",1979-06-14,,Dry rocky open woods.,,,,,,Kentucky,Kentucky,Bell County,"Middlesboro North Q., Rocky Face above Bartley's Lake.",,,,,,,"EASTERN KENTUCKY UNIVERSITY HERBARIUM
061288
IK
Eastern Kentucky University Herbarium
EKY
Galax aphylla"
060448,Galax aphylla,Diapensiaceae,aphylla,auct. non L.,R. Hannan & L. R. Phillippe,1308,,,,,,"Apr. 19, 1979",1979-04-19,,Dry upland woods.,,,,,North america,Usa,Kentucky,McCreary County,Sawyer Q.; Cold Spring North of Sawyer. Cold Spring leads to Lake Cumberland.,,,,244,335,ft,"IK
EKY
3 1234 10039613 2"
063984,Galax aphylla L.,Galax,aphylla,L.,T. J. Weckman,8247,,,,,,"September 20, 2003",2003-09-20,,"Red oak-red maple forest on low slopes of mt. pisgah, (elev ca. 4,200 ft)",,,,,North america,Usa,North carolina,Buncombe county,"Sw of asheville, nc.",,,,,1280,ft,"Eky herbarium of eastern kentucky university
richmond, kentucky 40475 u.s.a.
plants of buncombe county, north carolina
galax aphylla l.
diapensiaceae
eastern kentucky university herbarium"
007504,Galax aphylla L.,Galax,aphylla,L.,Lyn Loveless,56,,,,,,"June 25, 1970",1970-06-25,,"Rich, moist woodland area in mountain hardwoods.",,,,,North America,Usa,North Carolina,Ashe County,"Bluff Mountain, west of West Jefferson, Ashe County, North Carolina.",,,,,,,"Herbarium of albion college
Albion, michigan, u. s. a.


Galax aphylla"
060934,Galax aphylla,Galax,aphylla,auct. non L.,R. Hannan & L. R. Phillippe,2022,,,,,,"May 31, 1979",1979-05-31,,Above falls.,,,,,North america,Usa,Kentucky,Letcher County,Whitesburg Q.; Bad Branch. 1.5 miles NE of Eolia.,,,,,,,"Eastern kentucky university herbarium
IK 3 1234 10039611 6
Eky
Inch
optirectilinear"
046628,Galax aphylla,Galax,aphylla,L.,"T. J. Weckman, J. C., H. M., J. E. Weckman, A. M. Vaughn",3591,IK,,,,,"July 15, 1997",1997-07-15,,Hemlock-rhododendron dominated woods and woodland margins above Lost Cove Campground,,,,,North America,Usa,North Carolina,Jackson County,"1591 Hwy 19, ca. 6.5 miles west of Maggie Valley and ca 8.5 miles east of Cherokee, Nc.",,,,,,,"Eastern Kentucky University Herbarium
3 1234 10039609 0"
046047,Galax aphylla L.,Galax,aphylla,L.,"Timothy J. Weckman, Judith E. Weckman",5296,,,,,,"August 9, 1999",1999-08-09,,"Hemlock dominated low terrace, riparian woods and adjacent unimproved roadside; Hemlock Branch Road, Medlin tract addition to Martin's Fork of Cumberland Wild River.",,,,,North america,Usa,Kentucky,Harlan County,"Hemlock Branch Road, Medlin tract addition to Martin's Fork of Cumberland Wild River.",,,,,,,"INCH
OPTIRECTILINEAR®
CM
EASTERN KENTUCKY UNIVERSITY
HERBARIUM
IK
Eastern Kentucky University Herbarium
EKY Herbarium of Eastern Kentucky University
Richmond, KY 40475 U.S.A.
Plants of Harlan County, Kentucky
Diapensiaceae"
23875,Galax aphylla L.,Galax,aphylla,L.,J. Stuart Lassetter,2073,,,,,,"May 15, 1974",1974-05-15,,Pine-hardwood forest,,,,,North america,United states,North carolina,Madison co.,"U.s. 25, 9 miles north of walnut. pisgah national forest.",,,,671,,m,"Eastern kentucky university herbarium
handwritten text k"
8032,Galax aphylla L.,Galax,aphylla,L.,"Timothy J. Weckman, Hannah M. Weckman, Judith E. Rozeman",2331,,,,,,"February 10, 1996",1996-02-10,,Hemlock-rhododendron and oak-pine communities along Honeymoon Falls Trail; Pine Mountain State Park.,,,,,North America,Usa,Kentucky,Bell County,"Near Pineville, Ky.",,,,,,,"Eastern Kentucky University Herbarium
3 1234 10039603 3
VASCULAR PLANTS OF KENTUCKY
Galax aphylla"
067906,Galax urceolata (Poir.) Brummitt.,Galax,urceolata,(Poir.) Brummitt.,R.l. Jones,9068,,,,,,7 May 1999,1999-05-07,,Upland woods.,,,,,North america,Usa,Kentucky,Mccreary County,"Stephens tract, cumberland falls state resort park.",,,,,,,"Eastern kentucky university herbarium
3 1234 10039625 6
inch
optirectilinear
cm"
048902,Galax aphylla,Galax,aphylla,auct. non L.,Ronald L. Jones,9216b,,,,,,"Oct. 18, 1999",1999-10-18,,Upland woods along stream off hwy 90,,,,,North America,United States,Kentucky,Mccreary County,"Stephens Tract, Cumberland Falls State Resort Park",,,,,,,"Eastern Kentucky University Herbarium
Eky
Ek"
3 1234 10039622 3,Galax aphylla L.,Galax,aphylla,L.,Jana Hawks,1,,,,,,24 Oct. 1998,1998-10-24,,,,,,,North America,United States,Virginia,,"Blue Ridge Parkway mile 213, Smith Cemetery, base of Fisher's Peak Mountain.",,,,,,,"EASTERN KENTUCKY UNIVERSITY
HERBARIUM
042324
IK
Eastern Kentucky University Herbarium
Diapensiaceae"
077422,Galax urceolata,Galax,urceolata,(Poir.) Brummitt,Julie B. Clark & Ronald L. Jones,334,,,,,,Date 19 June 2008,2008-06-19,,,,,,,North america,Usa,Virginia,Dickenson County,"Breaks Interstate Park, laurel lake trail, in vicinity of 37° 17 '21.73 N, 82° 17' 37.32 W","37° 17 '21.73 N, 82° 17' 37.32 W",,,,,,"Eastern Kentucky University
Herbarium
IK
Eastern Kentucky University Herbarium
3 1234 10039627 2
Flora of Virginia
Diapensiaceae
M.s. thesis voucher
Eky
inch
optirectilinear"
072152,Galax urceolata (Poir.) Brummitt,Galax,urceolata,(Poir.) Brummitt,"Amy V. Mcintosh, Ron Jones",141,,,,,,7 May 2004,2004-05-07,,South-facing slope of pine mountain. Sub-xeric forest,,,,,North America,U.s.a.,Kentucky,Harlan County,Kentenia state forest cupp site,,,,,,,"Ik (handwritten)
Flora of pine mountain
thesis voucher
eky
Eastern Kentucky University Herbarium"
033529,Galax aphylla L.,Galax,aphylla,L.,Susan Wind,274,,,,,,"September 4, 1993",1993-09-04,,Pine-oak heath on xeric south-facing ridge,,,,,North america,Usa,North carolina,Transylvania county,"Mount pisgah trail, below pisgah inn, elevation 5000 feet.",,,,1524,,m,"Eastern kentucky university
herbarium
Easterm
lentucky
neversity
inch
optirectilinear"
029022,Galax aphylla L.,Galax,aphylla,L.,Randy Lee Mears,93-68,,,,,,3 July 1993,1993-07-03,,Growing in rich woods on west side of forest road #195 off Ky. 192 ca. 0.3 miles north of Ky. 192 along trail paralleling small creek.,,,,,North america,Usa,Kentucky,Laurel County,West side of forest road #195 off Ky. 192 ca. 0.3 miles north of Ky. 192 along trail paralleling small creek.,,,,,,,"Eastern Kentucky University Herbarium
Kentucky
Berea College Herbarium
Berea, Kentucky, U.S.A.
3 1234 10039610 8
U.S.A.
KENTUCKY
STERN
EAS
029032
HERDARIUM
INCH
OPTIRECTILINEAR"
